id,author_id,content,possibly_sensitive,language,source,retweet_count,reply_count,like_count,quote_count,created_at
1497786759710752768,1428688987259080704,"$50 | 700K • 5 Hours 

RT &amp; Follow Me (🔔)",false,en,Twitter for Android,5397,2277,1163,0,2022-02-27 04:12:45+00
1498156335581573120,1428688987259080704,"$50 | 700K • 4 Hours 

RT &amp; Follow Me (🔔)",false,en,Twitter for Android,5781,2373,1254,1,2022-02-28 04:41:19+00
444848423804866560,258809606,What an asshole. #Putin knows #angelamerkel is afraid of dogs yet brings his anyway. Next time she should bring gays. http://t.co/THdbxVfXT6,false,en,Twitter for Android,6621,345,2965,1,2014-03-15 14:51:43+00
1502965141998272513,1347140802577788928,"$100 • 1,4 JT | 12 HOURS

RT &amp; Follow @DukeShiller (🔔)",false,en,Twitter for iPad,6561,3111,1587,1,2022-03-13 11:09:48+00
1498836083416584195,1389658584196149251,"$50 | 700.000 IDR • End 8 hour 

RT Like &amp; Follow me🔔",false,en,Twitter for iPhone,5632,1848,4723,1,2022-03-02 01:42:23+00
1504290852151390212,1347140802577788928,"$100 • 1,4 JT | 12 HOURS

RT &amp; Follow me (🔔)",false,en,Twitter for iPad,10046,3721,2257,1,2022-03-17 02:57:42+00
1497825913178066948,1347140802577788928,"$50 • 700K | 4 HOURS

RT + Follow @Missypromotes",false,en,Twitter for iPad,6113,1874,1203,2,2022-02-27 06:48:20+00
1497807026092531721,1363765131172220933,"$75 || 1,05 JT in 5 HOURS 

RT &amp; Follow @brxwlol",false,en,Twitter for iPhone,5900,2058,1295,2,2022-02-27 05:33:17+00
1504084445384507394,1200355745600069635,"$150 in 24 hours 🌸💐

-RT + Follow 

⁦@CryptoRussD⁩ + @cryptogod1101",false,en,Twitter for Android,7461,2574,2027,2,2022-03-16 13:17:30+00
1503936472994381825,1200355745600069635,"$150 in 24 hours 🥑🌮🍿

-RT + Follow 

@Imaginary_Apes
@metarpgnft
@TomorrowNFTland",false,en,Twitter for Android,6820,2831,1855,2,2022-03-16 03:29:31+00
1498174280890449921,1461324154381103112,"$200 | 2.800.000 IDR in 24 Hours 🦄

- RT &amp; Follow @colinjordan + Like 📌",false,en,Twitter for iPhone,8893,4796,1947,3,2022-02-28 05:52:37+00
1498607064436068353,1449414811436023812,"giveaway 100$ | 1,400,000 IDR

-- rt follow (🔔) @flozinbtc 

ends in 8 hours good luck 🍒",false,en,Twitter for Android,7145,3440,1443,3,2022-03-01 10:32:21+00
1502275400336314368,1449414811436023812,"giveaway 100$ | 1,400,000 IDR

--rt follow (🔔) @nemmogiveaway 

ends in 8 hours good luck 🍒",false,en,Twitter for Android,7540,3344,1623,3,2022-03-11 13:29:01+00
1497827472431149056,1347140802577788928,"$80 • 1.12 JT | 12 HOURS

RT &amp; Follow @aiyahgameverse",false,en,Twitter for iPad,5176,1922,1252,3,2022-02-27 06:54:32+00
